Hugo_Symbol	q
SH3BGRL	3.4141926789861167e-25
ODC1	3.862903385653122e-25
CCNG2	3.862903385653122e-25
LRRC46	5.351038042079535e-25
MAPT	5.469363079391491e-25
PRR15	5.960300047087954e-25
FOXC1	7.6787400193998275e-25
STC2	7.894957975988305e-25
FAM114A2	8.411505845362029e-25
KIAA1467	8.411505845362029e-25
ACADSB	1.1175609276340398e-24
NCK2	1.5750845051733675e-24
PCBD2	1.633022504541576e-24
EXOC6	1.6601759636773614e-24
CENPN	1.965003638753268e-24
ANKRA2	2.1686473731448652e-24
RGMA	2.3412460515413836e-24
CHRD	2.757436087284654e-24
AFF3	3.2577762750797588e-24
MID1	3.417149230340741e-24
KIAA0825	3.662532100915996e-24
RMND1	3.8256240384591224e-24
RAB30	4.462297481146246e-24
BBS1	4.462297481146246e-24
MLPH	6.877372996438394e-24
MTHFD1L	7.755746722243262e-24
TP53INP1	8.592971321079921e-24
TTLL4	9.255739311753732e-24
SLC7A5	9.805396772200526e-24
COMMD10	1.0053278863847026e-23
UGCG	1.0165165979287433e-23
DCTN4	1.0380976151998904e-23
BTRC	1.0380976151998904e-23
DNAL1	1.1642005684946884e-23
LRBA	1.2662150562185002e-23
FNIP1	1.281966045963633e-23
SLC9A3R1	1.5082113944979762e-23
WFS1	1.5518589515213662e-23
C9ORF116	1.5710847704420514e-23
ZMYND10	2.0713866107117337e-23
ORMDL3	2.442663073274393e-23
AURKB	2.6202173035971517e-23
CDC20	2.6202173035971517e-23
LRTOMT	2.819348088827543e-23
DSC2	2.840030850818298e-23
CDK17	3.0981166262878854e-23
SMIM14	3.19361118587947e-23
PREX1	3.379951747730141e-23
LRIG1	3.4473966825295754e-23
CCDC103	3.4473966825295754e-23
TSPAN13	3.6477702626186926e-23
TCEAL3	3.957820521394973e-23
RHOB	4.1404563446772275e-23
TTC7A	4.390473240226748e-23
C16ORF45	4.757817727528478e-23
TBC1D1	5.0073023604161847e-23
TTC8	6.473955057429944e-23
NBR1	6.849794770816331e-23
HMGA1	7.534405752795847e-23
CFAP69	7.727518823869668e-23
JOSD1	7.891572456238261e-23
MKL2	8.22472774633652e-23
ANKRD42	8.853627982877898e-23
ERBB2	8.853627982877898e-23
ST8SIA1	8.853627982877898e-23
ATP8B1	8.936558176834064e-23
SAMD15	1.0008447448526793e-22
CENPA	1.005663706356027e-22
UGDH	1.058755534894967e-22
FAM47E	1.0996159916271173e-22
CMC2	1.143736181748192e-22
CLCN4	1.1916879780733013e-22
CCNE1	1.1989335634240882e-22
CPEB2	1.2608955548338784e-22
TSPAN1	1.2608955548338784e-22
FOXA1	1.2695044724935024e-22
KCTD3	1.4232446812055123e-22
C1ORF106	1.4232446812055123e-22
TRIM3	1.5960020162676009e-22
PM20D2	1.661152673186291e-22
USB1	1.661152673186291e-22
DEGS2	1.6849255993001455e-22
SLC44A4	1.7960360969431703e-22
APH1B	1.7960360969431703e-22
ORC6	2.0592687984199506e-22
DDX26B	2.0982239463279279e-22
ATP7B	2.120901273743927e-22
INPP4B	2.1393261488129315e-22
KRT222	2.39015205592179e-22
FBXL5	2.4081018454142033e-22
RAD17	2.8698970850401437e-22
GIN1	2.9464177279857894e-22
CDK2AP1	3.019681135687959e-22
POLI	3.068873990432269e-22
JRKL	3.111262640302299e-22
DTWD2	3.2170215087879567e-22
NOVA1	3.3728936762623803e-22
FBXO36	3.3728936762623803e-22
ELP2	3.40522826372766e-22
IMPA2	3.6562370731832533e-22
SYNJ2BP	3.8823439747771396e-22
SEC16A	4.100842948436233e-22
NOSTRIN	4.464140003684287e-22
MFSD2B	5.093248168175867e-22
PADI2	5.539917050817429e-22
MSL3	6.508788293328574e-22
KIAA0232	7.347344630851737e-22
ABLIM3	8.927505529377431e-22
TICRR	9.318845301089766e-22
AMER1	9.891622047518083e-22
FANCA	1.0070804936881212e-21
SLC19A2	1.014839462105215e-21
SIDT1	1.0160382991385582e-21
DALRD3	1.0167502699593194e-21
HJURP	1.023990226972986e-21
PLCD4	1.0475762075135295e-21
P4HTM	1.064254461170854e-21
CDC25A	1.1384328279381591e-21
ZNF385A	1.2632335371380787e-21
PRRT3	1.323202855611024e-21
TMEM144	1.3710657653763538e-21
FGD3	1.4134268319616887e-21
KCNK5	1.5480247934948493e-21
RAB6C	1.6891364313317049e-21
FUT8	1.8019746140258395e-21
SUV39H2	1.838173017258387e-21
ADCY9	1.8526219533094032e-21
GALNT6	1.8821537874220085e-21
C4ORF32	1.9028901841365057e-21
LASP1	1.984399335416809e-21
APLF	2.0579351003052893e-21
ERGIC1	2.064307704776874e-21
LRRC48	2.114622142516264e-21
GUSBP3	2.2394822689935148e-21
CTPS1	2.2861469313477704e-21
NT5DC2	2.3005471264073535e-21
SCAMP1	2.325732340166114e-21
CSNK1G3	2.355667300600058e-21
MICALL1	2.355667300600058e-21
ZNF462	2.355667300600058e-21
RNF14	2.526350577467486e-21
TCEAL4	2.6547653476718172e-21
NXPH3	2.7245470442220232e-21
ZNF587	2.8839782152488672e-21
CCDC96	3.050036399537197e-21
RAP2B	3.0914932334003057e-21
KIFC1	3.1043195392041847e-21
TES	3.122172514562987e-21
TMBIM6	3.219614119999382e-21
PELI1	3.3703501588319694e-21
PGGT1B	3.4132187457811964e-21
CISH	3.4132187457811964e-21
CLIC6	3.561144476096905e-21
HAPLN3	3.6885132022587934e-21
FBP1	4.423762641591225e-21
SFRP1	4.538984440130637e-21
LRP8	4.538984440130637e-21
SIAH2	4.538984440130637e-21
RET	4.75857029316204e-21
C16ORF71	5.1881638134303174e-21
CXXC5	5.502600407028287e-21
SLC46A1	5.855990975235867e-21
COX6C	5.855990975235867e-21
ATP6V1C2	5.993068537687766e-21
PGAP3	6.0904006217539075e-21
KCNN4	6.6423526137287915e-21
AMD1	7.362325377725759e-21
BBS4	7.371393776893691e-21
CDCA3	7.490604555155594e-21
YTHDC2	7.580207081759872e-21
KIF2C	7.837486178990051e-21
IFT140	8.669489400845125e-21
ABTB2	8.983759421027381e-21
ZCCHC11	9.44073990110296e-21
RUNX3	9.44073990110296e-21
C9ORF40	9.44073990110296e-21
ZNF205-AS1	9.446279610114637e-21
SEPSECS	9.758176434095021e-21
C17ORF58	9.775925206307236e-21
KRT18	9.945393423054502e-21
PTGER3	1.032072438546785e-20
TTK	1.0925195334617564e-20
CYB5D1	1.0978739043851636e-20
YEATS2	1.2211318195877936e-20
MAST4	1.3016227936234662e-20
ECE2	1.333675959385338e-20
RABL3	1.3747371355042008e-20
GSTM3	1.3909592917477908e-20
LYAR	1.39850444763137e-20
HPDL	1.4467840473807224e-20
RBM38	1.460223558622704e-20
KIF13B	1.4727499512801982e-20
LDHB	1.4909592658119187e-20
C10ORF32	1.4909592658119187e-20
PEX12	1.5267643656358568e-20
CDCA8	1.6713687185396415e-20
FBXO38	1.7335282759044828e-20
MCM7	1.733836104118533e-20
NDUFAF4	1.7524891067683794e-20
GUSBP2	1.812196537086267e-20
CDC45	1.8322752189656704e-20
RAD54L	1.8549124843792476e-20
STMN1	1.8987761137566018e-20
CDCA2	1.9290850840739505e-20
PDZK1	2.0066628129856805e-20
CEBPB	2.073915491110082e-20
AKR7L	2.1034955317155162e-20
UQCRHL	2.3223293701172272e-20
PDSS1	2.3223293701172272e-20
PIF1	2.3932959887127294e-20
ASAH1	2.450983387617252e-20
KCNJ11	2.487762675761682e-20
AMFR	2.5572285277062534e-20
MICAL3	2.7796947114973466e-20
NUMA1	2.787322942330602e-20
LEO1	2.8834795829309405e-20
PLK1	3.0387755300417344e-20
GPD1L	3.333271092165377e-20
ENPP1	3.353455553118021e-20
CNTD1	3.535855780201101e-20
CYBRD1	3.5710644969238256e-20
PVR	3.6213306340783026e-20
NUS1	3.6545754994734525e-20
GLUL	3.7048245853660056e-20
SLC39A9	3.919076823709898e-20
MSL3P1	4.0066814241824193e-20
BCL2	4.071030587822832e-20
HEXIM1	4.337176900706003e-20
MEGF9	4.337176900706003e-20
CSNK1A1	4.403222653902034e-20
COL4A3BP	5.0730421186759064e-20
SLC9A6	5.109306002999653e-20
KIF16B	5.2039474407422235e-20
SYT1	5.4117615422520625e-20
MCM5	5.4117615422520625e-20
MSANTD3	6.297305688042486e-20
FOXP1	6.415606205651185e-20
ACOX2	6.462013966433785e-20
PLEKHF2	6.462013966433785e-20
POC5	6.462013966433785e-20
RAI2	6.909554960638896e-20
CDT1	7.069594605052411e-20
FMNL2	7.10941791742297e-20
CHEK2	7.342587153269557e-20
COA7	7.391872294906436e-20
BECN1	7.391872294906436e-20
C5ORF30	7.658708192981911e-20
SLC43A3	7.715760594414837e-20
TRIM23	8.09244577876673e-20
ANKS6	8.667886365027398e-20
MSH3	8.689324893287736e-20
AGGF1	9.061111971698383e-20
MTFR2	9.235867939435084e-20
NT5C2	9.264096505601156e-20
NHSL1	9.982959957523371e-20
FAM134B	1.009420176878555e-19
GTSE1	1.009420176878555e-19
ZFYVE16	1.0189975091745063e-19
TIGD6	1.0327331350204249e-19
LCMT2	1.0691284805075211e-19
NPNT	1.10107935614111e-19
FAM64A	1.165493536751417e-19
PIM1	1.199560804584303e-19
SYBU	1.2024538155709308e-19
IFNAR2	1.2024538155709308e-19
MYBL2	1.2194445503825727e-19
SUOX	1.2671964812261724e-19
ZBTB4	1.300854760160154e-19
ZDHHC18	1.314864526694473e-19
ACOT4	1.3769373628486576e-19
FAM72B	1.3993945671272875e-19
CIB2	1.4139414143711212e-19
TGFB3	1.4611506521386624e-19
FAM63A	1.5223110673795887e-19
LAMP3	1.687808012088885e-19
RAB26	1.7160537981097834e-19
NFIB	1.7567627314023122e-19
DBF4	1.9352482567998035e-19
NUDT12	1.9652814502295784e-19
AIF1L	1.9904907830339786e-19
DAZAP2	2.0027096854926042e-19
ZSCAN32	2.0286815208159416e-19
TYRO3	2.0382430491608708e-19
PTPN2	2.250137157454723e-19
HTR7P1	2.2542701175801227e-19
BCAM	2.3878614123722355e-19
GALNT10	2.4046605586702086e-19
CCNH	2.411712509511484e-19
NUDT4	2.5013575919375395e-19
CALCOCO2	2.542061978643429e-19
CHEK1	3.2895057207601056e-19
HENMT1	3.7552196324062395e-19
HID1	4.0030320689879386e-19
RASGEF1B	4.019260611146199e-19
GFM2	4.043662006099674e-19
COQ7	4.143321149256407e-19
LMX1B	4.163984790764423e-19
GALNT7	4.505321601791547e-19
TSPAN31	4.769284099098406e-19
VAV3	4.920140721481951e-19
CMYA5	4.95102168714552e-19
NUP93	5.085150261138366e-19
ZNF442	5.210853293400124e-19
CYB5R1	5.210853293400124e-19
BIRC5	5.743354024115829e-19
KAT6B	5.799487183372595e-19
PLEKHG4B	5.842384317950914e-19
GLIPR2	6.472183455977565e-19
KARS	6.544211575294554e-19
EPB41L5	6.584966976453969e-19
E2F3	6.629683623866995e-19
ITPR1	7.33854531765022e-19
QDPR	7.398608530629603e-19
DKC1	7.750946531064506e-19
SLC40A1	7.750946531064506e-19
ALAD	7.9840480750140645e-19
KIAA1407	7.999096360150245e-19
MRAS	8.412842136047324e-19
TLE3	8.667492009993959e-19
UQCRH	8.68572886001476e-19
KIAA0556	8.856790630531929e-19
BEND3	8.949133179753997e-19
PPARA	9.03524086015835e-19
SPOPL	9.146833806807477e-19
SKA1	9.161466626937272e-19
REEP5	9.389394899853375e-19
JKAMP	1.0111591448324837e-18
LSM2	1.0286459231998194e-18
SPEF2	1.0511226796485301e-18
ASTN2	1.0523806638632472e-18
FBXL17	1.063068863434078e-18
CCNB2	1.0765511568674082e-18
EML4	1.0925308932124187e-18
ELAC1	1.1051099880350843e-18
TAF4B	1.117095629767322e-18
TMCC2	1.1332956742789594e-18
PRNP	1.1593205152682837e-18
ORC1	1.1711573404570992e-18
UBE2C	1.1770307813391247e-18
ZCCHC10	1.1881031158649983e-18
SPOP	1.1929218247013163e-18
MPZL2	1.1970508353531487e-18
KIAA1804	1.216384513410712e-18
CHAC1	1.2318016332654625e-18
FAM151B	1.259837695783106e-18
CCDC74A	1.2703525733492802e-18
SREK1	1.3289476664453664e-18
PTCD2	1.3382336788434589e-18
L3MBTL4	1.3669287189606906e-18
BTG2	1.37092215101379e-18
ADIRF	1.3845248811133404e-18
RPIA	1.4017089840740932e-18
CHD1	1.4054710820206115e-18
CCNA2	1.4504244303888795e-18
FAM102A	1.4789541728606258e-18
CTSV	1.5172373620010616e-18
TMEM39B	1.5319001904092097e-18
COG7	1.5540933676273135e-18
PDK1	1.623831778636475e-18
CMBL	1.6989562817948883e-18
EMC8	1.7330081796963638e-18
SEPHS1	1.7414574109756104e-18
TUBB6	1.755651321237891e-18
CDCA5	1.755651321237891e-18
KCTD21	1.7732603161692254e-18
RPH3AL	1.7941075051477216e-18
FRY	1.8685830912597386e-18
CASD1	1.876742106821681e-18
EN1	1.9872854844913212e-18
TLE1	2.0108987390254226e-18
TSPAN33	2.049516535572617e-18
UBXN2A	2.0793149270083246e-18
FOXM1	2.1377879012587076e-18
TCF7L1	2.1425183077105766e-18
DCAF10	2.1721024694821048e-18
FAM83D	2.5230067324141513e-18
GOLGA1	2.5269321500988434e-18
WDR19	2.5476819479881162e-18
RAB27B	2.5871279894553615e-18
NCS1	2.622292250050021e-18
TUBB	2.636930863352271e-18
ATP6AP1L	2.659052541058817e-18
MATN3	2.690128753726949e-18
MFAP3	2.713504844892435e-18
MRPS5	2.7644249280735437e-18
PKIB	2.770670548553351e-18
NCOA7	2.917719244213036e-18
RPP25	2.964496418514215e-18
PLA2G12A	3.0308045144019264e-18
ASB8	3.0663543434284752e-18
BTD	3.0663543434284752e-18
KLHDC1	3.088288685675477e-18
LPIN1	3.1700817657833582e-18
CACNA1H	3.36812706712723e-18
SPDEF	3.4185220794818758e-18
RBKS	3.450240486199701e-18
E2F2	3.489512196561165e-18
GSG2	3.5224051289856294e-18
SKA3	3.5253306660153636e-18
RBMS1	3.547162256250541e-18
SSH3	3.6564598776215534e-18
BAIAP3	3.83956371749097e-18
ENO1	3.949984008249656e-18
IFT88	4.046109929528761e-18
MOAP1	4.092499982993814e-18
ARHGAP32	4.092499982993814e-18
BTF3	4.108575613455707e-18
KIF18B	4.125298531474626e-18
PSMB2	4.163770538969885e-18
BMPR1B	4.392283465471199e-18
YBX3	4.430399884850395e-18
FRS2	4.6634362807669664e-18
ZNF396	4.712929737580238e-18
SMOX	4.989717609856101e-18
FAM89A	4.9968309903507864e-18
MCM10	5.1783423325574925e-18
CACNA1D	5.3609211980584395e-18
CDH3	5.6452389308783874e-18
SLC2A10	5.672601594566155e-18
POLK	5.672601594566155e-18
SPG11	5.726934841100677e-18
CNKSR3	5.746756308881835e-18
ANKMY1	5.885956989723029e-18
ANKHD1-EIF4EBP3	6.007649903845648e-18
CMTM7	6.157613891949713e-18
MRPS27	6.176360361812165e-18
PPP1R3C	6.194241709324933e-18
CCDC71L	6.577968210797716e-18
RMND5B	6.769924881912229e-18
CYB5D2	6.833318703900835e-18
C15ORF41	7.023473515599333e-18
CEP55	7.106879317781568e-18
RANBP1	7.207923128677804e-18
TMEM25	7.207923128677804e-18
ZNF92	7.264798368226835e-18
ASNS	7.359078306575072e-18
NMT2	7.435375424752589e-18
MAP3K12	7.540979543823874e-18
SEMA3F	7.591664476914723e-18
FABP5	7.703081866848915e-18
PHF12	8.399238923949919e-18
TMEM161B	8.461339006377394e-18
APPBP2	8.793105965457272e-18
KIAA0040	8.820875633943549e-18
TPX2	9.149454826995404e-18
FMO5	9.17197653980369e-18
CDC25B	9.571486713062963e-18
TCEAL6	9.951234801643661e-18
PDIA6	1.0890331946636921e-17
FOSL1	1.1075159004647721e-17
UCK2	1.142183936144489e-17
PLIN2	1.1766344394876834e-17
RIN3	1.211074173516974e-17
RARRES1	1.229195358745147e-17
SPRYD3	1.2679441867524242e-17
PFKP	1.3408438745508601e-17
RSU1	1.3678304950768129e-17
EZH2	1.4222026930767063e-17
ZBTB42	1.466457193629007e-17
APBA2	1.466457193629007e-17
SPATA20	1.4775554317267978e-17
ADGRG6	1.4881075885561578e-17
TBX19	1.4881075885561578e-17
METTL20	1.5944035395035858e-17
S1PR2	1.620928070067944e-17
RAB5B	1.6214181282191187e-17
VPS39	1.6926768329783023e-17
MAGOH	1.6941098425845055e-17
SLC27A2	1.7642427523992156e-17
PSRC1	1.789113761380443e-17
AP2B1	1.7989564521442295e-17
RAD50	1.8302915299333926e-17
CLCN5	1.8470135013863714e-17
TAPT1	1.8544583980011723e-17
GCNT2	1.9223085513646977e-17
BLM	2.0177765507057502e-17
CHRNA5	2.0181988941041476e-17
GPT2	2.04815693618794e-17
GTPBP8	2.04815693618794e-17
TOB1	2.0572249643201124e-17
LRRC6	2.0625346316281374e-17
FYCO1	2.1040989684570543e-17
CXORF40A	2.110186772654302e-17
HACD3	2.1966937167061177e-17
MAP7D3	2.2729335497283393e-17
CFAP20	2.2828136065619762e-17
KIF3A	2.2936050190562697e-17
TUBA1C	2.2969940376337304e-17
PTK7	2.3039018077978222e-17
FAM161B	2.3055947271400224e-17
RNF145	2.3322340842280714e-17
TRAF3IP1	2.340105942521325e-17
SFT2D2	2.405721114004085e-17
MREG	2.4517371542461806e-17
TCTN1	2.473979976752317e-17
C3ORF18	2.5028671379165218e-17
SCCPDH	2.6166482886812435e-17
HNRNPH2	2.660863283802212e-17
CHST15	2.7591476748145196e-17
CERS6	2.8530847808264655e-17
RIBC1	2.871609442063627e-17
CRNKL1	2.947654291588274e-17
ZNF44	2.984564220505596e-17
CCDC24	3.0469162409852737e-17
MELK	3.1750539992421123e-17
MGC72080	3.177185163405915e-17
PAK1IP1	3.226222223877091e-17
PNP	3.336700927887466e-17
FAM120AOS	3.36945409451243e-17
PHF5A	3.55898405807445e-17
PTP4A2	3.6946725017344814e-17
CPEB4	3.86496023225835e-17
LINC00094	4.2099830029045343e-17
TRAPPC13	4.250920116765504e-17
MTMR2	4.2590151028947643e-17
KLHDC2	4.2970755858906815e-17
NDC80	4.321643351615667e-17
TRIT1	4.442976639504717e-17
PBX1	4.737963826615235e-17
PABPC4	4.799678300931296e-17
C5ORF15	4.8302858411013176e-17
TMED7	4.8368165311938197e-17
PDE7A	4.922567205309305e-17
BUB1	5.262103409671981e-17
KIAA0319L	5.3069687483335393e-17
SHROOM1	5.3069687483335393e-17
MYO5C	5.446927587987613e-17
BHLHE40	5.754639678963643e-17
SERBP1	5.973619497334407e-17
RALGAPA1	6.225763119892722e-17
CIRBP	6.318791959771286e-17
LMO4	6.386662233361281e-17
MEIS3P1	6.450397066801273e-17
ATRIP	6.495064956656563e-17
CHST3	6.892812464751604e-17
CTC1	6.901919810757819e-17
TMSB15B	7.137774575083324e-17
FAM127B	7.15561618704116e-17
AUNIP	7.308277176783262e-17
FAF1	7.405488555386608e-17
RHBDF2	7.715370588379916e-17
LOC113230	7.764139141671723e-17
CIRH1A	7.814968546695358e-17
ZNF518B	8.295887052939629e-17
ADSL	8.337609030346163e-17
GSTCD	8.359302277339009e-17
HEMK1	8.522431729938655e-17
PRSS23	8.666957817653418e-17
CENPO	8.6946981203537e-17
LSM6	8.697985098371994e-17
ERI2	8.96500246898522e-17
NFE2L3	8.968146845904914e-17
YARS	9.280270476464069e-17
C4A	9.328119619239117e-17
ABCD3	9.923073798066578e-17
RNF103	1.0045860220151595e-16
RNASEH1	1.0087063827412748e-16
GPR160	1.0131928961281528e-16
DPH2	1.0617091341404939e-16
ZNF563	1.0652142002544876e-16
TIGD2	1.0755494228460779e-16
CFAP53	1.0846766833810852e-16
SH3BP1	1.0880381125848788e-16
TTC39A	1.1743713647886025e-16
MS4A14	1.183106540418078e-16
ROGDI	1.189829113201123e-16
CORO1C	1.204442847442025e-16
PPIP5K1	1.2228573383808943e-16
TRIM29	1.244128754953611e-16
MAP3K1	1.2548952594522246e-16
SLC36A4	1.293582649580097e-16
HSD17B4	1.317858764963055e-16
TROAP	1.318953093578321e-16
SCHIP1	1.318953093578321e-16
HDAC2	1.318953093578321e-16
MAML2	1.3215433436711785e-16
PALM2	1.3318914836039265e-16
NCAPG	1.3520667848659598e-16
CCDC40	1.3846279155518874e-16
RBM17	1.398116556539051e-16
FAM57A	1.401323127174257e-16
SYT17	1.4224654089951576e-16
PJA2	1.424979144385018e-16
GPM6B	1.424979144385018e-16
MYO10	1.424979144385018e-16
USP6NL	1.432574062929865e-16
PRDX4	1.4450318243744634e-16
SEL1L3	1.4506820425543964e-16
ASS1	1.4517093642809524e-16
GMPS	1.4601680868418897e-16
MSN	1.4711721822025305e-16
LINC00883	1.4969238752736937e-16
REEP1	1.5239845314297344e-16
CRY2	1.545387945073974e-16
ABRACL	1.7822702545228046e-16
ELMSAN1	1.8115788131979028e-16
PIP4K2B	2.0081463599117923e-16
KITLG	2.0118989320993729e-16
MAP4K4	2.0130992338989326e-16
ATP1B3	2.1242194742343474e-16
RBM47	2.1649029708718982e-16
GLUD1	2.1720061853899082e-16
ARFIP2	2.185564489209683e-16
RPF2	2.185564489209683e-16
MED7	2.24731996567363e-16
FAM135A	2.24731996567363e-16
KIF5C	2.24731996567363e-16
ZPR1	2.2475615451058136e-16
FANCE	2.3272145932008764e-16
RBM28	2.33996528190299e-16
NPEPPS	2.3491148134948565e-16
CPNE2	2.353119559112854e-16
USP35	2.4172606811006563e-16
GHDC	2.4172606811006563e-16
LIMA1	2.465115106792806e-16
EXO1	2.4810614429117264e-16
MEMO1	2.4876602600637675e-16
PRIM2	2.488216359451305e-16
PDCD5	2.520908484696521e-16
UBASH3B	2.609182111076691e-16
USP30	2.683926014807038e-16
FANCB	2.7621551682209613e-16
ANLN	2.7871887205848404e-16
KIF14	2.8446671749239964e-16
THOC5	2.864311778087417e-16
COLGALT1	2.8883677042539296e-16
XPNPEP1	2.891557094866727e-16
TNFRSF21	2.8920981607779147e-16
RERG	2.9218143460273057e-16
CEP126	2.93253555841883e-16
RRAGD	3.103359648923429e-16
KIAA0141	3.276463823109649e-16
CCDC18	3.314594268746581e-16
CREB3L4	3.3358888478052294e-16
TMEM65	3.336196009863621e-16
SNRPA1	3.336196009863621e-16
NIP7	3.336196009863621e-16
STIL	3.354757500735631e-16
ATP11C	3.5171730307208303e-16
ZNF814	3.7278679350084235e-16
ARF3	3.7660683847716604e-16
C9ORF117	3.893905339421715e-16
HHAT	4.1259691738509097e-16
POLR1C	4.1522313834846314e-16
CASC4	4.348257797599246e-16
CDYL2	4.449523687639921e-16
UPP1	4.449523687639921e-16
KLHDC3	4.545080508197078e-16
E2F4	4.576308440238998e-16
FSCN1	4.610400195551306e-16
SNRPD1	4.61395934577969e-16
RAB6B	4.620414106970899e-16
COTL1	4.637729593039208e-16
HR	4.642334708166385e-16
RPL39L	4.642334708166385e-16
FAAH	4.745021869186852e-16
RALGPS2	4.925430026942125e-16
TADA2B	5.02874638486071e-16
SYNCRIP	5.094917261640245e-16
DNAJC2	5.17261522169459e-16
MYB	5.17261522169459e-16
TPRN	5.17261522169459e-16
PTDSS1	5.195185253074065e-16
IQCH	5.216749734766083e-16
PSMG1	5.343981953811869e-16
CKS1B	5.396330215532053e-16
TMEM123	5.491322908536373e-16
TAF5	5.611008239269749e-16
IVD	5.668120179832514e-16
MAN2B2	5.693818821749528e-16
NOTCH1	5.790557883077088e-16
ZC3H18	5.791050576482629e-16
CPLX1	5.894827322283492e-16
ELMOD2	5.977286607723623e-16
SEC14L2	6.023116848424421e-16
CAMLG	6.206128346201159e-16
RCOR2	6.615629137645645e-16
EGFR	6.718330875130357e-16
GMPR2	7.587263869211474e-16
CDCA4	7.587263869211474e-16
CSAD	7.588960692202101e-16
ATP11B	7.778836640789984e-16
SCNN1A	8.1941873825930075e-16
ZNF652	8.493064858039648e-16
HAUS8	8.726911994927832e-16
KCMF1	8.886858286276759e-16
THAP6	8.886858286276759e-16
KLF5	8.912091730198498e-16
HSDL2	8.977649593272126e-16
TRIP13	9.33671431508086e-16
ATP11A	9.362331185021206e-16
FAM188B	9.389267978032784e-16
LCA5L	9.418759076994297e-16
AFF4	9.448362467077455e-16
PDHB	9.621346234242133e-16
PRSS53	1.0155417606474215e-15
ADI1	1.0191117390927502e-15
SPATA17	1.020049423881127e-15
TMEM199	1.0241580047945367e-15
WBP1L	1.0250900607551091e-15
RND1	1.0332174327503976e-15
CEP120	1.0349206372321298e-15
DTD1	1.086222616499747e-15
ZNF91	1.0993657854801107e-15
SLC22A4	1.0999609160715505e-15
NCAPH	1.1249125964313482e-15
XPO5	1.136450891546039e-15
DMXL1	1.1408942314040794e-15
MEIS3	1.180895303171842e-15
ATP6V1E2	1.1902755471366306e-15
CCDC30	1.1939934035299471e-15
NASP	1.1972863646433657e-15
CDC42EP1	1.1987088125803588e-15
FAM136A	1.204535945950005e-15
MKI67	1.260135493254918e-15
FAM134C	1.2615745984407147e-15
DSCC1	1.2720887051227939e-15
PLCG2	1.2720887051227939e-15
PAPD4	1.2971188275456649e-15
GAMT	1.3577684030422226e-15
DEPDC1	1.3837696532002583e-15
TM4SF1	1.4201630403890402e-15
FAM60A	1.4544396569367325e-15
COG2	1.5002814190803778e-15
